% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.182	1	13	19	3	43	20	161	1
0.183	1	4	19	4	93	20	161	0
0.183	1	6	19	4	97	20	161	0
0.183	1	5	19	4	54	20	161	1
0.183	1	3	19	4	62	20	161	1
0.184	1	2	19	5	100	20	161	0
0.184	1	9	19	5	102	20	161	0
0.184	1	11	19	5	69	20	161	1
0.184	1	8	19	5	75	20	161	1
0.185	1	1	19	6	1	20	161	0
0.185	1	10	19	6	14	20	161	0
0.185	1	15	19	6	82	20	161	1
0.185	1	7	19	6	88	20	161	1
0.186	1	12	19	7	26	20	161	0
0.186	1	14	19	7	35	20	161	0
0.186	1	4	19	7	93	20	161	1
0.186	1	6	19	7	97	20	161	1
0.187	1	13	19	8	43	20	161	0
0.187	1	5	19	8	54	20	161	0
0.187	1	2	19	8	100	20	161	1
0.187	1	9	19	8	102	20	161	1
0.188	1	3	19	9	62	20	161	0
0.188	1	11	19	9	69	20	161	0
0.188	1	1	19	9	1	20	161	1
0.188	1	10	19	9	14	20	161	1
0.189	1	8	19	10	75	20	161	0
0.189	1	15	19	10	82	20	161	0
0.189	1	12	19	10	26	20	161	1
0.189	1	14	19	10	35	20	161	1
0.19	1	7	20	1	88	20	161	0
0.19	1	4	20	1	93	20	161	0
0.19	1	13	20	1	43	20	161	1
0.19	1	5	20	1	54	20	161	1
0.191	1	6	20	2	97	20	161	0
0.191	1	2	20	2	100	20	161	0
0.191	1	3	20	2	62	20	161	1
0.191	1	11	20	2	69	20	161	1
0.192	1	9	20	3	102	20	161	0
0.192	1	1	20	3	1	20	161	0
0.192	1	8	20	3	75	20	161	1
0.192	1	15	20	3	82	20	161	1
0.193	1	10	20	4	14	20	161	0
0.193	1	12	20	4	26	20	161	0
0.193	1	7	20	4	88	20	161	1
0.193	1	4	20	4	93	20	161	1
0.194	1	14	20	5	35	20	161	0
0.194	1	13	20	5	43	20	161	0
0.194	1	6	20	5	97	20	161	1
0.194	1	2	20	5	100	20	161	1
0.195	1	5	20	6	54	20	161	0
0.195	1	3	20	6	62	20	161	0
0.195	1	9	20	6	102	20	161	1
0.195	1	1	20	6	1	20	161	1
0.196	1	11	20	7	69	20	161	0
0.196	1	8	20	7	75	20	161	0
0.196	1	10	20	7	14	20	161	1
0.196	1	12	20	7	26	20	161	1
0.197	1	15	20	8	82	20	161	0
0.197	1	7	20	8	88	20	161	0
